;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;Film;<A> is the presenter of what TV show?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/presenter> <A> . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };select distinct ?a where { ?uri <http://dbpedia.org/property/presenter> ?a . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };74833a9d360e4944ba62ebb5ff1633fb;;;;;;;;;;;;;;;
;Sport;<A> is the president of which basketball team ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/president> <A> . ?uri a <http://dbpedia.org/ontology/BasketballTeam> };select distinct ?a where { ?uri <http://dbpedia.org/property/president> ?a . ?uri a <http://dbpedia.org/ontology/BasketballTeam> };204a5a67d76344009f7ee3711bb79292;;;;;;;;;;;;;;;
;Film;<A> is the publisher of which series?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/publisher> <A> . ?x <http://dbpedia.org/ontology/series> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/publisher> ?a . ?x <http://dbpedia.org/ontology/series> ?uri };f0d39660f1f94a2098c5ecae0c7159ff;;;;;;;;;;;;;;;
;Film;<A> is the sister channel of networks having which shows?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/sisterNames> <A> . ?uri <http://dbpedia.org/ontology/network> ?x . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };select distinct ?a where { ?x <http://dbpedia.org/property/sisterNames> ?a . ?uri <http://dbpedia.org/ontology/network> ?x . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };37dd8f24e04d4c9693e47be13aca643a;;;;;;;;;;;;;;;
;Economy;<A> is the subsidiary of which company?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/subsidiary> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/subsidiary> ?a };8b5c756e4b4d417bb041434770f85a38;;;;;;;;;;;;;;;
;Sport;<A> is the team of which basketball players?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/team> <A> . ?uri a <http://dbpedia.org/ontology/BasketballPlayer> };select distinct ?a where { ?uri <http://dbpedia.org/property/team> ?a . ?uri a <http://dbpedia.org/ontology/BasketballPlayer> };333d5b882d2a433abf4674b881d86b63;;;;;;;;;;;;;;;
;Film;<A> is the writer of which television show?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/writer> <A> . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };select distinct ?a where { ?uri <http://dbpedia.org/property/writer> ?a . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };2dccee64e1754b3ebb0e0b7dbd8f53e5;;;;;;;;;;;;;;;
;;<A> is used in making what?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/ingredient> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/ingredient> ?a };e166d5d43fdf4091b8a0c9a5482c75c5;;;;;;;;;;;;;;;
;Film;<A> is writer and <B> tone is company of which TV show ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/writer> <A> . ?uri <http://dbpedia.org/property/company> <B> . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/writer> ?a . ?uri <http://dbpedia.org/property/company> ?b . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };ef953fcfd8774d258a795e40f2c3858b;;;;;;;;;;;;;;;
;;<A> makes how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/ontology/manufacturer> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/manufacturer> ?a };785671e67373470d82a70c72bbe1184d;;;;;;;;;;;;;;;
;Music;<A> makes songs in which languages?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/artist> <A> . ?x <http://dbpedia.org/property/language> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/artist> ?a . ?x <http://dbpedia.org/property/language> ?uri };2f4493990eff40b794e67500a851e312;;;;;;;;;;;;;;;
;;<A> operates in which places?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/operator> <A> . ?x <http://dbpedia.org/property/address> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/operator> ?a . ?x <http://dbpedia.org/property/address> ?uri };00922db47d90435cb5df5903a5025450;;;;;;;;;;;;;;;
;Sport;<A> owns which american football team?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/owner> <A> . ?uri a <http://dbpedia.org/ontology/AmericanFootballTeam> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/owner> ?a . ?uri a <http://dbpedia.org/ontology/AmericanFootballTeam> };a1e40cc27cbe4b48b7f3d40e75c71479;;;;;;;;;;;;;;;
;Film;<A> people have edited which movies?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/birthPlace> <A> . ?uri <http://dbpedia.org/property/editing> ?x . ?uri a <http://dbpedia.org/ontology/Film> };select distinct ?a where { ?x <http://dbpedia.org/ontology/birthPlace> ?a . ?uri <http://dbpedia.org/property/editing> ?x . ?uri a <http://dbpedia.org/ontology/Film> };d19c3af9ab8340149565596d32439a0c;;;;;;;;;;;;;;;
;Film;<A> produce how many movies?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/ontology/producer> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/producer> ?a };74bea979df0f49f0aafba5f2d1be9297;;;;;;;;;;;;;;;
;Computer;<A> publishes which genre of games?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/publisher> <A> . ?x <http://dbpedia.org/ontology/genre> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };select distinct ?a where { ?x <http://dbpedia.org/property/publisher> ?a . ?x <http://dbpedia.org/ontology/genre> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };edec33716ab949b993955978a2dc9011;;;;;;;;;;;;;;;
Q;Sport;<A> serves as president for which basketball team?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/president> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/president> ?a };2afab07b2dac4282909806c34e40c6f5;<A> serves as a head coach and president for which basketball team?;;;;;;;;;;;;;;
;Music;<A> singles are of which language?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/musicalBand> <A> . ?x <http://dbpedia.org/property/language> ?uri . ?x a <http://dbpedia.org/ontology/Single> };select distinct ?a where { ?x <http://dbpedia.org/ontology/musicalBand> ?a . ?x <http://dbpedia.org/property/language> ?uri . ?x a <http://dbpedia.org/ontology/Single> };26de4237807b43509a696a7aa4460ae3;;;;;;;;;;;;;;;
;;<A> starts from which station?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/routeStart> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/routeStart> ?uri };6fea069c838141f8842dd0965d1d918c;;;;;;;;;;;;;;;
;Film;<A> the theme album of which show ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/album> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/album> ?uri };cff31d6e2dee48de9fc46d0ecb40ced5;;;;;;;;;;;;;;;
;Music;<A> was associated with which band?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/associatedBand> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/associatedBand> ?a };c838dc07c8ba4000a51426ddb603d08d;;;;;;;;;;;;;;;
;Music;<A> was composed by whom ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/composer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/composer> ?uri };daa582dfaf1a4472bddfa0b0a4deb1e5;;;;;;;;;;;;;;;
;Science;<A> was doctoral supervisor of which scientist ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/doctoralAdvisor> <A> . ?uri a <http://dbpedia.org/ontology/Scientist> };select distinct ?a where { ?uri <http://dbpedia.org/property/doctoralAdvisor> ?a . ?uri a <http://dbpedia.org/ontology/Scientist> };4b6587fe43824a6385cac583915ac1cc;;;;;;;;;;;;;;;
;;<A> was the advisor of how many people?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/doctoralAdvisor> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/doctoralAdvisor> ?a };78671ca44f6445c08adb515eb5031860;;;;;;;;;;;;;;;
;;<A> was the commander of which military conflict ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/commander> <A> . ?uri a <http://dbpedia.org/ontology/MilitaryConflict> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/commander> ?a . ?uri a <http://dbpedia.org/ontology/MilitaryConflict> };83382bb589c04cbcb6617f67fc123310;;;;;;;;;;;;;;;
;Politics;<A> was the governor under which politician?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/governor> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/governor> ?a };b4072b20f7fa40d7b0fe48885dca9d53;;;;;;;;;;;;;;;
Q;;<A> worked for which president?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/president> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/president> ?uri };23b82966a26e4e568066583eee6da399;Who is the president when <A> used to work for Democratic party?;;;;;;;;;;;;;;
;Literature;<A> writers have been given which awards?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/movement> <A> . ?x <http://dbpedia.org/ontology/award> ?uri . ?x a <http://dbpedia.org/ontology/Writer> };select distinct ?a where { ?x <http://dbpedia.org/property/movement> ?a . ?x <http://dbpedia.org/ontology/award> ?uri . ?x a <http://dbpedia.org/ontology/Writer> };0312574f280d45a89cd5147313fad0b1;;;;;;;;;;;;;;;
;Literature;<A> writers have won which award?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/ethnicity> <A> . ?x <http://dbpedia.org/ontology/award> ?uri . ?x a <http://dbpedia.org/ontology/Writer> };select distinct ?a where { ?x <http://dbpedia.org/property/ethnicity> ?a . ?x <http://dbpedia.org/ontology/award> ?uri . ?x a <http://dbpedia.org/ontology/Writer> };6e0f647889314bb68424848e0c6e2d13;;;;;;;;;;;;;;;
;Film;<A> wrote how many screenplays?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/property/screenplay> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/screenplay> ?a };47255156e21340db90b083e6f65946bd;;;;;;;;;;;;;;;
;Music;<A> wrote the musical extended from which book?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/author> <A> . ?x <http://dbpedia.org/ontology/basedOn> ?uri . ?x a <http://dbpedia.org/ontology/Musical> };select distinct ?a where { ?x <http://dbpedia.org/ontology/author> ?a . ?x <http://dbpedia.org/ontology/basedOn> ?uri . ?x a <http://dbpedia.org/ontology/Musical> };39eeccfe288b4fc78a5dcd44386e7255;;;;;;;;;;;;;;;
;Sport;<A>' horses have raced in which races?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/trainer> <A> . ?x <http://dbpedia.org/property/race> ?uri . ?x a <http://dbpedia.org/ontology/Horse> };select distinct ?a where { ?x <http://dbpedia.org/ontology/trainer> ?a . ?x <http://dbpedia.org/property/race> ?uri . ?x a <http://dbpedia.org/ontology/Horse> };2e6a230473e948a29d59e965ed724a74;;;;;;;;;;;;;;;
;Sport;<A>'s ice hockey players have been a part of which teams?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/placeOfBirth> <A> . ?x <http://dbpedia.org/ontology/team> ?uri . ?x a <http://dbpedia.org/ontology/IceHockeyPlayer> };select distinct ?a where { ?x <http://dbpedia.org/property/placeOfBirth> ?a . ?x <http://dbpedia.org/ontology/team> ?uri . ?x a <http://dbpedia.org/ontology/IceHockeyPlayer> };471a1edfae9f4e0b86d10cce7f064dd3;;;;;;;;;;;;;;;
;Music;<A>'s musicals has been adapted from how many things?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/property/music> <A> . ?x <http://dbpedia.org/ontology/basedOn> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/music> ?a . ?x <http://dbpedia.org/ontology/basedOn> ?uri };427a250b939b4dbfab09841c8f20e929;;;;;;;;;;;;;;;
;Sport;<A>'s trained horses have won which awards?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/trainer> <A> . ?x <http://dbpedia.org/ontology/honours> ?uri . ?x a <http://dbpedia.org/ontology/Horse> };select distinct ?a where { ?x <http://dbpedia.org/property/trainer> ?a . ?x <http://dbpedia.org/ontology/honours> ?uri . ?x a <http://dbpedia.org/ontology/Horse> };e00e1461078d4aacba00099390f97ced;;;;;;;;;;;;;;;
;Film;<A>'s work can be divided into how many series?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/property/author> <A> . ?x <http://dbpedia.org/ontology/series> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/author> ?a . ?x <http://dbpedia.org/ontology/series> ?uri };3baa786d346248839da91be72db9ca83;;;;;;;;;;;;;;;
;Economy;<B> <A> are both owned by which company?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/parentCompany> ?uri . <A> <http://dbpedia.org/ontology/parentCompany> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/parentCompany> ?uri . ?a <http://dbpedia.org/ontology/parentCompany> ?uri };a2f27d8c0508441cafed36479e7362a6;;;;;;;;;;;;;;;
;;<B> and <A> are citizens of which country?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/citizenship> ?uri . <A> <http://dbpedia.org/ontology/citizenship> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/citizenship> ?uri . ?a <http://dbpedia.org/ontology/citizenship> ?uri };24dffcdf54ea418ca45309b87e1089d3;;;;;;;;;;;;;;;
;;<B> and <A> are leaders of which place ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/leader> <B> . ?uri <http://dbpedia.org/ontology/leader> <A> . ?uri a <http://dbpedia.org/ontology/Place> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/leader> ?b . ?uri <http://dbpedia.org/ontology/leader> ?a . ?uri a <http://dbpedia.org/ontology/Place> };2f402439bfbf4bb3b37b919d64f80a13;;;;;;;;;;;;;;;
N;;<B> and <A> are the shore cities on which sea ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/cities> <B> . ?uri <http://dbpedia.org/property/cities> <A> . ?uri a <http://dbpedia.org/ontology/Sea> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/cities> ?b . ?uri <http://dbpedia.org/property/cities> ?a . ?uri a <http://dbpedia.org/ontology/Sea> };4d7ac749c1ed4d359c857449cd3bfcd7;<B> and <A> is the shore cities on which sea ?;;;;;;;;;;;;;;
;Religion;<B> and <A> are two followers of which religion?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/religion> ?uri . <A> <http://dbpedia.org/property/religion> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/religion> ?uri . ?a <http://dbpedia.org/property/religion> ?uri };9202aee754b8461bbb83aef174429e8a;;;;;;;;;;;;;;;
Q;;<B> and <A> are under which branch of military?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/type> ?uri . <A> <http://dbpedia.org/ontology/type> ?uri . ?uri a <http://dbpedia.org/ontology/MilitaryUnit> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/type> ?uri . ?a <http://dbpedia.org/ontology/type> ?uri . ?uri a <http://dbpedia.org/ontology/MilitaryUnit> };80e469b7945f4f16a8801256c157cab0;<B> and <A> are under which branch of Us military?;;;;;;;;;;;;;;
Q;Politics;<B> and <A> have based their political career in which state?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/state> ?uri . <A> <http://dbpedia.org/property/state> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/state> ?uri . ?a <http://dbpedia.org/property/state> ?uri };e35b89affcbc4e069a971dce50f9fd26;<B> and <A> have based their political career in which US state?;;;;;;;;;;;;;;
;Sport;<B> and <A> played their first match for which team?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/debutteam> ?uri . <A> <http://dbpedia.org/property/debutteam> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/debutteam> ?uri . ?a <http://dbpedia.org/property/debutteam> ?uri };afa75d6b6d03454f9b688dd0080985fb;;;;;;;;;;;;;;;
;;<B> and <A> served under which Vice President?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/vicePresident> ?uri . <A> <http://dbpedia.org/ontology/vicePresident> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/vicePresident> ?uri . ?a <http://dbpedia.org/ontology/vicePresident> ?uri };3375a4f07f5548d1ae047a3fa248dd11;;;;;;;;;;;;;;;
;;<B> and <A> were governors under which president?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/governor> ?uri . <A> <http://dbpedia.org/property/governor> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/governor> ?uri . ?a <http://dbpedia.org/property/governor> ?uri };7320bf155b9b4a90b729bd36263698da;;;;;;;;;;;;;;;
;Music;<B> and <A> were originally composed by whom?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/composer> ?uri . <A> <http://dbpedia.org/ontology/composer> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/composer> ?uri . ?a <http://dbpedia.org/ontology/composer> ?uri };04444d2be01e42628d4b68c281b03655;;;;;;;;;;;;;;;
X;Religion;<B> follows what religion, which once employed <A> too?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/religion> ?uri . <A> <http://dbpedia.org/ontology/occupation> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/religion> ?uri . ?a <http://dbpedia.org/ontology/occupation> ?uri };c24ec1614e724dd8aa615e6054a4f8f3;<B> follows what religion, which once employed <A> Srijnana too?;;;;;;;;;;;;;;
;Film;<B> from, and is produced by <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/product> ?uri . <B> <http://dbpedia.org/ontology/series> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/product> ?uri . ?b <http://dbpedia.org/ontology/series> ?uri };a600e69fac2b46a58ff1d1fe22877e45;;;;;;;;;;;;;;;
;Sport;<B> has a stadium in <A>?;ASK where { <B> <http://dbpedia.org/ontology/stadium> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/stadium> ?a };858f8152827d43efa3d30f8630da9251;;;;;;;;;;;;;;;
;;<B> is a work of <A>?;ASK where { <B> <http://dbpedia.org/ontology/previousWork> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/previousWork> ?a };11122ef7a8fb46d89a3d6b4d6757b990;;;;;;;;;;;;;;;
X;Religion;<B> is affiliated to <A> Religion;ASK where { <B> <http://dbpedia.org/property/religiousAffiliation> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/religiousAffiliation> ?a };565549d096324c1ca053e79d2d314691;<B> is affiliated to <A>ic Religion;;;;;;;;;;;;;;
;General;<B> is operated by what city, which is the birthplace of <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/operatedBy> ?uri . <A> <http://dbpedia.org/ontology/birthPlace> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/operatedBy> ?uri . ?a <http://dbpedia.org/ontology/birthPlace> ?uri };700b88a3eb40456a8ec23a305cc5e2e5;;;;;;;;;;;;;;;
